model,split,round,case_id,condition,verdict,severity,action,confidence,verdict_distance,severity_distance,action_distance,C1_pass,C2_pass,C3_pass,C4_pass,A4_pass
gemini-2.5-flash,dev,1,ACCT-001,missing,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,1,AMQ-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,1,BF-001,weak,suspicious,medium,investigate,0.7,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,1,CERT-001,weak,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,1,DISC-002,counter,benign,informational,close_benign,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,1,FW-001,weak,benign,informational,close_benign,0.9,-1,-1,-1,True,False,True,False,False
gemini-2.5-flash,dev,1,ING-001,missing,malicious,high,isolate,0.9,1,1,2,True,False,True,False,False
gemini-2.5-flash,dev,1,INJ-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,1,LGN-002,missing,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,1,LS-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,1,LS-002,weak,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,1,PS-001,weak,malicious,high,isolate,0.9,1,1,2,True,False,False,False,False
gemini-2.5-flash,dev,1,PS-002,weak,malicious,high,isolate,0.9,1,1,2,True,False,True,False,False
gemini-2.5-flash,dev,1,RDL-001,counter,benign,informational,close_benign,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,1,RK-001,missing,benign,informational,close_benign,0.9,-1,-1,-1,True,False,True,False,False
gemini-2.5-flash,dev,1,RTLO-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,1,SMB-002,counter,suspicious,medium,investigate,0.7,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,1,ST-002,missing,malicious,high,isolate,0.9,1,1,2,True,False,True,False,False
gemini-2.5-flash,dev,1,ST-003,weak,benign,informational,close_benign,0.9,-1,-1,-1,True,False,False,False,False
gemini-2.5-flash,dev,1,UAC-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,1,WMI-002,strong,malicious,high,escalate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,2,ACCT-001,missing,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,2,AMQ-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,2,BF-001,weak,suspicious,medium,investigate,0.7,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,2,CERT-001,weak,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,2,DISC-002,counter,benign,informational,close_benign,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,2,FW-001,weak,benign,informational,close_benign,0.9,-1,-1,-1,True,False,True,False,False
gemini-2.5-flash,dev,2,ING-001,missing,malicious,high,isolate,0.9,1,1,2,True,False,True,False,False
gemini-2.5-flash,dev,2,INJ-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,2,LGN-002,missing,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,2,LS-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,2,LS-002,weak,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,2,PS-001,weak,malicious,high,isolate,0.9,1,1,2,True,False,False,False,False
gemini-2.5-flash,dev,2,PS-002,weak,malicious,high,isolate,0.9,1,1,2,True,False,True,False,False
gemini-2.5-flash,dev,2,RDL-001,counter,benign,informational,close_benign,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,2,RK-001,missing,benign,informational,close_benign,0.9,-1,-1,-1,True,False,True,False,False
gemini-2.5-flash,dev,2,RTLO-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,2,SMB-002,counter,suspicious,medium,investigate,0.7,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,2,ST-002,missing,malicious,high,isolate,0.9,1,1,2,True,False,True,False,False
gemini-2.5-flash,dev,2,ST-003,weak,benign,informational,close_benign,0.9,-1,-1,-1,True,False,False,False,False
gemini-2.5-flash,dev,2,UAC-001,strong,malicious,high,escalate,0.9,0,0,0,True,True,False,True,False
gemini-2.5-flash,dev,2,WMI-002,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,3,ACCT-001,missing,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,3,AMQ-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,3,BF-001,weak,suspicious,medium,investigate,0.8,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,3,CERT-001,weak,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,3,DISC-002,counter,benign,informational,close_benign,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,3,FW-001,weak,benign,informational,close_benign,0.9,-1,-1,-1,True,False,True,False,False
gemini-2.5-flash,dev,3,ING-001,missing,malicious,high,isolate,0.9,1,1,2,True,False,True,False,False
gemini-2.5-flash,dev,3,INJ-001,strong,malicious,high,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,3,LGN-002,missing,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,3,LS-001,strong,malicious,critical,isolate,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,3,LS-002,weak,malicious,high,escalate,0.9,1,1,1,True,False,True,False,False
gemini-2.5-flash,dev,3,PS-001,weak,malicious,high,isolate,0.9,1,1,2,True,False,False,False,False
gemini-2.5-flash,dev,3,PS-002,weak,malicious,high,isolate,0.9,1,1,2,True,False,True,False,False
gemini-2.5-flash,dev,3,RDL-001,counter,benign,informational,close_benign,0.9,0,0,0,True,True,True,True,True
gemini-2.5-flash,dev,3,RK-001,missing,benign,informational,close_benign,0.9,-1,-1,-1,True,False,True,False,False
